id,name,rarity,season
1,Cattail,uncommon,"Spring, Summer, Fall"
2,Pickerelweed,common,"Spring, Summer"
3,Water Lily,uncommon,Summer
4,Arrowhead (Duck Potato),common,"Summer, Fall"
5,Bulrush,common,"Spring, Summer, Fall"
6,Watercress,rare,"Spring, Summer"
7,Willow,common,"Spring, Summer, Fall"
8,Reed Grass,common,"Spring, Summer"
9,Buttonbush,common,Summer
10,Elderberry,rare,Summer
11,Swamp Milkweed,uncommon,Summer
12,Jewelweed,rare,Summer
13,Marsh Marigold,rare,Spring
14,Blue Flag Iris,uncommon,"Spring, Summer"
15,Joe-Pye Weed,uncommon,"Summer, Fall"
16,Cardinal Flower,common,Summer
17,Skunk Cabbage,common,Early Spring
18,Wild Mint,uncommon,"Spring, Summer"
19,Water Hemlock,uncommon,Summer
20,Smartweed,uncommon,"Summer, Fall"
21,Acorn,rare,Fall
22,Riverbank Grape,uncommon,"Summer, Fall"
23,Hazelnut,common,"Summer, Fall"
24,Wild Rose,common,Summer
25,Chicory,uncommon,"Summer, Fall"
26,Goldenrod,common,Fall
27,New England Aster,common,Fall
28,Dandelion,common,"Spring, Summer, Fall"
